this window, read bandwidth is 17190.851699, write bandwidth is 58194.395182
this window, read bandwidth is 30212.873967, write bandwidth is 27737.244889
this window, read bandwidth is 19756.279850, write bandwidth is 41655.842780
this window, read bandwidth is 48.663822, write bandwidth is 83854.476715
this window, read bandwidth is 18353.321307, write bandwidth is 47885.026126
this window, read bandwidth is 24774.375413, write bandwidth is 31966.899410
this window, read bandwidth is 24146.763827, write bandwidth is 37965.500364
this window, read bandwidth is 3859.527390, write bandwidth is 87081.268788
this window, read bandwidth is 30545.527036, write bandwidth is 23043.116887
this window, read bandwidth is 17941.472861, write bandwidth is 52627.567655
this window, read bandwidth is 23653.782351, write bandwidth is 35119.219565
this window, read bandwidth is 15055.054032, write bandwidth is 40486.353893
this window, read bandwidth is 422.201943, write bandwidth is 88649.938028
this window, read bandwidth is 16660.150063, write bandwidth is 54689.529006
this window, read bandwidth is 22272.130856, write bandwidth is 28614.660535
this window, read bandwidth is 24851.447714, write bandwidth is 41190.135369
this window, read bandwidth is 17117.633973, write bandwidth is 56059.665843
this window, read bandwidth is 8456.557080, write bandwidth is 78152.999246
this window, read bandwidth is 12926.708848, write bandwidth is 54155.329802
this window, read bandwidth is 16836.095618, write bandwidth is 50616.210543
this window, read bandwidth is 28596.666192, write bandwidth is 28391.508762
this window, read bandwidth is 18851.996694, write bandwidth is 49309.102063
this window, read bandwidth is 493.306301, write bandwidth is 98963.609212
this window, read bandwidth is 18044.009558, write bandwidth is 51693.988271
this window, read bandwidth is 17548.266388, write bandwidth is 53108.306281
this window, read bandwidth is 31579.899793, write bandwidth is 24970.311139
this window, read bandwidth is 2878.772391, write bandwidth is 80563.905618
this window, read bandwidth is 20581.558806, write bandwidth is 43344.266780
this window, read bandwidth is 28510.131890, write bandwidth is 22741.273679
this window, read bandwidth is 18185.947905, write bandwidth is 50747.218288
this window, read bandwidth is 1930.752530, write bandwidth is 91795.098419
this window, read bandwidth is 17268.529668, write bandwidth is 53457.755013
this window, read bandwidth is 29446.394269, write bandwidth is 31448.622418
this window, read bandwidth is 20147.250639, write bandwidth is 47225.845398
this window, read bandwidth is 5909.441476, write bandwidth is 80359.777149
this window, read bandwidth is 14130.236986, write bandwidth is 64475.887768
this window, read bandwidth is 16851.058447, write bandwidth is 45160.638200
this window, read bandwidth is 15065.243713, write bandwidth is 59953.398420
this window, read bandwidth is 18459.528615, write bandwidth is 49511.340430
this window, read bandwidth is 32402.194407, write bandwidth is 22152.464998
this window, read bandwidth is 19246.256696, write bandwidth is 50330.262342
this window, read bandwidth is 3376.683449, write bandwidth is 85577.042822
this window, read bandwidth is 16949.355931, write bandwidth is 51621.547584
this window, read bandwidth is 26816.587896, write bandwidth is 57295.412279
this window, read bandwidth is 16745.216355, write bandwidth is 51038.204770
this window, read bandwidth is 27308.516470, write bandwidth is 33095.191714
this window, read bandwidth is 15465.575575, write bandwidth is 56253.843713
this window, read bandwidth is 16776.604104, write bandwidth is 52428.098909
this window, read bandwidth is 2444.911679, write bandwidth is 84008.825197
this window, read bandwidth is 18123.088336, write bandwidth is 56432.976893
this window, read bandwidth is 28571.250864, write bandwidth is 27971.893534
this window, read bandwidth is 23879.192584, write bandwidth is 36285.061847
this window, read bandwidth is 6759.590518, write bandwidth is 75314.116596
this window, read bandwidth is 193.469335, write bandwidth is 103506.094284
