this window, read bandwidth is 16324.403494, write bandwidth is 55261.298550
this window, read bandwidth is 29223.953148, write bandwidth is 26829.355791
this window, read bandwidth is 19381.175980, write bandwidth is 40864.941459
this window, read bandwidth is 48.287098, write bandwidth is 83205.330896
this window, read bandwidth is 17740.903289, write bandwidth is 46287.187115
this window, read bandwidth is 23380.821108, write bandwidth is 30168.766882
this window, read bandwidth is 22324.976685, write bandwidth is 35101.138875
this window, read bandwidth is 3805.076783, write bandwidth is 85852.717348
this window, read bandwidth is 30716.610438, write bandwidth is 23172.179804
this window, read bandwidth is 17993.954360, write bandwidth is 52781.511184
this window, read bandwidth is 23488.640290, write bandwidth is 34874.030012
this window, read bandwidth is 14714.036825, write bandwidth is 39569.283566
this window, read bandwidth is 375.818237, write bandwidth is 78910.729690
this window, read bandwidth is 16176.728858, write bandwidth is 53102.623852
this window, read bandwidth is 24551.440338, write bandwidth is 31543.058698
this window, read bandwidth is 24821.670512, write bandwidth is 41140.781022
this window, read bandwidth is 16775.746310, write bandwidth is 54939.995439
this window, read bandwidth is 8415.021555, write bandwidth is 77769.140210
this window, read bandwidth is 8134.058743, write bandwidth is 34076.936292
this window, read bandwidth is 16477.357497, write bandwidth is 49537.696576
this window, read bandwidth is 29760.783910, write bandwidth is 29547.274898
this window, read bandwidth is 18808.069694, write bandwidth is 49194.207022
this window, read bandwidth is 492.355340, write bandwidth is 98772.834096
this window, read bandwidth is 17882.980999, write bandwidth is 51232.660182
this window, read bandwidth is 17384.249951, write bandwidth is 52611.924758
this window, read bandwidth is 29125.099615, write bandwidth is 23029.294080
this window, read bandwidth is 3060.955604, write bandwidth is 85662.395229
this window, read bandwidth is 20322.736108, write bandwidth is 42799.192418
this window, read bandwidth is 26526.306955, write bandwidth is 21158.864101
this window, read bandwidth is 17847.224994, write bandwidth is 49802.024471
this window, read bandwidth is 1947.767679, write bandwidth is 92604.061379
this window, read bandwidth is 16278.890681, write bandwidth is 50394.154374
this window, read bandwidth is 27951.647049, write bandwidth is 29852.238817
this window, read bandwidth is 19126.514886, write bandwidth is 44833.205840
this window, read bandwidth is 5805.650551, write bandwidth is 78948.372087
this window, read bandwidth is 13842.274612, write bandwidth is 63161.923272
this window, read bandwidth is 18617.327392, write bandwidth is 49894.218174
this window, read bandwidth is 14853.511844, write bandwidth is 59110.793722
this window, read bandwidth is 18545.257756, write bandwidth is 49741.279382
this window, read bandwidth is 31690.524110, write bandwidth is 21665.916119
this window, read bandwidth is 18653.737221, write bandwidth is 48780.783859
this window, read bandwidth is 3341.313992, write bandwidth is 84680.656292
this window, read bandwidth is 17141.505842, write bandwidth is 52206.766033
this window, read bandwidth is 24695.001396, write bandwidth is 52762.502513
this window, read bandwidth is 16919.841020, write bandwidth is 51570.448084
this window, read bandwidth is 27007.111992, write bandwidth is 32729.919621
this window, read bandwidth is 15240.114492, write bandwidth is 55433.760910
this window, read bandwidth is 16825.847756, write bandwidth is 52581.988875
this window, read bandwidth is 2490.882691, write bandwidth is 85588.420390
this window, read bandwidth is 17247.954963, write bandwidth is 53707.923607
this window, read bandwidth is 29174.432274, write bandwidth is 28562.421622
this window, read bandwidth is 24193.990820, write bandwidth is 36763.406056
this window, read bandwidth is 6938.982701, write bandwidth is 77312.871366
this window, read bandwidth is 196.703039, write bandwidth is 105236.125606
